name,title,faction,tier,unreleased,tags,classes,hp,dmg_per_hit,hits,atk_time_frames,atk_per_s,dps,hit_delay_s,range,range_constant,engage_speed,weight,caster,cast_cooldown_frames,charge_dmg,special_attack,super_action,push_immune,trait,param_1,param_2,param_3,specials
cursed_lady,Alexia,enemy,0,,boss,,5000,60,1,126,0.476,28.57,0.278,80,no,0.25,5000,,,,yes,yes,,,,,,attacks_for_special_attack_required=15; boss_mods=soul_harvest+astral_prison; ghosts_summoned_amount=2; ghosts_summoned_names=cursed_ghost_1+cursed_ghost_2+cursed_ghost_3; hp_percent_thresholds=0.7+0.2; laser_attack_damage=160
stickwalker_boss,Araknor,enemy,0,,boss,,2500,50,1,96,0.625,31.25,0.278,1.5,no,0.25,2000,yes,1200,,yes,yes,,,,,,arm_slam_damage=70; arm_slam_max_push_speed=6; attacks_for_special_attack_required=4; boss_mods=stickwalker_junior_spawned+outer_tiles_occupied; hp_percent_thresholds=0.8+0.55+0.3; hp_restored_by_eating=300; jump_stomp_damage=60; jump_stomp_max_push_speed=3; slam_damage=17; slam_max_push_speed=4
phoenix_boss,Ashfeather,enemy,0,,boss,,12000,240,1,84,0.714,171.43,0.333,1.5,no,0.23,2000,yes,900,,,yes,,,,,,attack_push_force=3; boss_mods=phoenix_heat+phoenix_fledglings; cast_burn_damage=5; cast_burn_duration=300; cast_radius=60; hp_percent_thresholds=0.7+0.3
phoenix_stage_egg,Ashfeather (Egg),enemy,0,,boss,,12000,,,,,,,1.5,no,0,5000,,,,,yes,,,,,,boss_mods=; damage_resistance=-0.95; explosion_burn_damage=4; explosion_burn_time=180; explosion_damage=120; explosion_radius=183; explosion_stun_time=300; has_opening_action=yes; hp_percent_thresholds=0.7+0.3; max_hp_heal_from_hatching=0.05
hair_witch_boss,Blademistress,enemy,0,,boss,,3250,38,1,72,0.833,31.67,0.444,1.5,no,0.25,600,,,,yes,,,,,,,attack_push_force=2; attacks_for_special_attack_required=3; boss_mods=; massacre_damage=20; massacre_push_speed=1
boar_junior,Boar offspring,enemy,0,,sub_boss,,750,12,1,60,1.0,12.0,0.444,3,no,0.2,500,,,1-2,,,,,,,,boss_mods=; charge_distance_to_travel_min=50; charge_move_spd_max=1.6; charge_move_spd_min=0.1; charge_push_force=2.5; charge_radius=80; is_charger=yes
dragoness_boss,Dragoness,enemy,0,,boss+melee,,28000,300,1,90,0.667,200.0,0.333,1.5,no,0.24,10000,,,,,yes,,,,,,boss_mods=dragon_heir+blazing_return; eggs_dropped_amount=2; flame_damage_constant=25; hp_percent_thresholds=0.8+0.5+0.1; meteorite_damage=10; meteorite_stream_cooldown=18; meteorite_stun_duration=300
iron_head,Facelock,enemy,0,,boss,,5000,45,1,78,0.769,34.62,0.381,1.5,no,0.25,1000,,,,yes,yes,,,,,,arm_slam_max_push_speed=2; attacks_for_special_attack_required=5; boss_mods=heavy_chains+slow_recruitment; frighten_duration=270; head_slam_damage=200; head_slam_max_push_speed=6; hp_percent_thresholds=0.7+0.2; self_enrage_duration=420; slam_damage=30; slam_max_push_speed=4
forest_lord_boss_stage_1,Forest Lord,enemy,0,,boss,,30000,300,1,72,0.833,250.0,0.278,5,no,0.24,5000,yes,900,,yes,yes,,,,,,attacks_for_special_attack_required=3; boss_mods=natures_revenge+forest_suffering; ents_created_amount=3; hp_percent_thresholds=0.5; stomp_damage=80; stomp_max_push_speed=8; stomp_stun_duration=90
forest_lord_boss_stage_2_bottom,Forest Lord,enemy,0,,boss,,7000,30,1,102,0.588,17.65,0.333,1.5,no,0.27,3000,,,,,,,,,,,boss_mods=; stomp_damage=30; stomp_max_push_speed=3
