name,title,faction,tier,unreleased,tags,classes,hp,dmg_per_hit,hits,atk_time_frames,atk_per_s,dps,hit_delay_s,range,range_constant,engage_speed,weight,caster,cast_cooldown_frames,charge_dmg,special_attack,super_action,push_immune,trait,param_1,param_2,param_3,specials
tentacle_mage,Abyssal Oracle,enemy,0,,ranged+tentacle+backline_spawn,,400,30,1,198,0.303,9.09,0.333,110,no,0,,,,,,,yes,,,,,raised_as_skeleton_type=1
tentacle_watcher,Abyssal Watcher,enemy,0,,tentacle+backline_spawn,,400,,,,,,,1.5,no,0,,,,,,,yes,,,,,raised_as_skeleton_type=1
tentacle_serpent,Awakened Serpent,enemy,0,,melee+tentacle+backline_spawn,,600,75,1,174,0.345,25.86,0.095,12,no,0,,,,,,,yes,,,,,attack_push_force=0.25; raised_as_skeleton_type=1
battering_ram,Battering Ram,enemy,0,,,,2500,10,1,600,0.1,1.0,0.333,2,no,0.18,,,,,,,,,,,,castle_damage_multi=20
beastclops,Beastclops,enemy,0,,melee,,3000,55,1,84,0.714,39.29,0.278,1.5,no,0.28,500,,,,,,,,,,,
tentacle_beetle_spawner,Beetle Tentacle,enemy,0,,tentacle+backline_spawn,,700,,,,,,,1.5,no,0,,yes,1440,,,,yes,,,,,raised_as_skeleton_type=1; unit_spawned_name=bursting_bug; units_to_spawn_amount=2
boss_masked_minion_1,Bellringer's minion,enemy,0,,melee,,250,15,1,60,1.0,15.0,0.278,1.5,no,0.3,,,,,,,,,,,,
boss_masked_minion_2,Bellringer's minion,enemy,0,,melee,,200,18,1,54,1.111,20.0,0.167,1.5,no,0.3,,,,,,,,,,,,
tentacle_poison_shooter,Blight Spitter,enemy,0,,ranged+tentacle+backline_spawn,,100,11,1,108,0.556,6.11,0.222,40,no,0,,,,,,,yes,,,,,poison_damage=1; poison_duration=120; raised_as_skeleton_type=1
slime_blue_small,Blue Slime,enemy,0,,melee,,50,12,1,36,1.667,20.0,0.222,1.5,no,0.35,,,,,,,,,,,,
slime_blue_big,Blue Slug,enemy,0,,melee,,500,16,1,36,1.667,26.67,0.333,1.5,no,0.21,,,,,,,,,,,,
bogey,Bogey,enemy,0,,,,150,,,,,,,1.5,no,0,,,,,,,,,,,,
tentacle_womb,Brood Tentacle,enemy,0,,tentacle+backline_spawn,,400,,,,,,,1.5,no,0,,yes,1320,,,,yes,,,,,raised_as_skeleton_type=1; unit_spawned_name=womb_spawn; units_to_spawn_amount=1
burning_skull,Burning Skull,enemy,0,,ranged,,400,29,1,72,0.833,24.17,0.167,55,no,0.3,,,,,,,,,,,,
bursting_bug,Bursting Beetle,enemy,0,,,,150,0,1,36,1.667,0.0,0.278,1.5,yes,0.18,,,,,,,,,,,,explosion_damage=40
cathead,Cathead,enemy,0,,melee,,500,100,1,36,1.667,166.67,0.167,1.5,no,0.5,,,,,,,,,,,,
claything,Claything,enemy,0,,melee,,60,,,,,,,1.5,yes,0.25,,yes,60,,,,,,,,,castle_damage_multi=9; explosion_damage=15
corrupted_assassin,Corrupted Assassin,enemy,0,,melee,,80,6,2,48,1.25,7.5,0.111,1.5,no,0.23,,,,,,,,,,,,
corrupted_bumblebee,Corrupted Bumblebee,enemy,0,,melee+flying,,400,5,2,48,1.25,6.25,0.111,1.5,no,0.31,200,,,,,,,,,,,
corrupted_flour_dragon,Corrupted Dragon,enemy,0,,melee+flying,,430,28,1,36,1.667,46.67,0.222,1.5,no,0.31,200,,,,,,,,,,,
corrupted_goose_rider,Corrupted Goose Rider,enemy,0,,rider,,240,23,1,36,1.667,38.33,0.167,3,no,0.25,,,,2-8,,,,,,,,charge_distance_to_travel_min=50; charge_move_spd_max=1.6; charge_move_spd_min=0.1; charge_radius=80; is_charger=yes
corrupted_madman,Corrupted Madman,enemy,0,,melee+mage,,100,3,1,18,3.333,10.0,0.056,1.5,no,0.35,,,,,,,,,,,,flees_after_attack=yes; poison_damage=3; poison_duration=90
corrupted_mushroom_warrior,Corrupted Mushroom Warrior,enemy,0,,melee,,220,4,3,36,1.667,6.67,0.278,1.5,no,0.27,,,,,,,,,,,,
corrupted_peasant,Corrupted Peasant,enemy,0,,melee,,35,7,1,42,1.429,10.0,0.111,1.5,no,0.31,,,,,,,,,,,,
corrupted_ram,Corrupted Ram,enemy,0,,melee,,700,18,1,42,1.429,25.71,0.222,1.5,no,0.27,200,,,,,,,,,,,
corrupted_unicorn,Corrupted Unicorn,enemy,0,,melee,,600,23,1,36,1.667,38.33,0.167,1.5,no,0.27,,,,,,,,,,,,
goblin_crab_rider,Crab Rider,enemy,0,,melee,,700,40,1,36,1.667,66.67,0.111,1.5,no,0.3,400,,,,,,,,,,,
sea_fish_crooked,Crooked Fish,enemy,0,,melee,,300,10,1,54,1.111,11.11,0.111,1.5,no,0.3,,,,,,,,,,,,
cursed_ghost_1,Cursed Ghost,enemy,0,,melee,,100,12,1,42,1.429,17.14,0.25,1.5,no,0.38,,,,,,,,,,,,
cursed_ghost_2,Cursed Ghost,enemy,0,,melee,,130,10,1,42,1.429,14.29,0.25,1.5,no,0.38,,,,,,,,,,,,
cursed_ghost_3,Cursed Ghost,enemy,0,,melee,,90,16,1,42,1.429,22.86,0.25,1.5,no,0.38,,,,,,,,,,,,
red_eye,Cyclops,enemy,0,,melee,,3000,55,1,84,0.714,39.29,0.333,1.5,no,0.23,400,,,,,,,,,,,
deadclops,Deadclops,enemy,0,,melee,,3500,50,1,84,0.714,35.71,0.333,1.5,no,0.23,400,,,,,,,,,,,
necro_fencer,Decaying Fencer,enemy,0,,melee,,500,20,1,48,1.25,25.0,0.222,1.5,no,0.31,,,,,,,,,,,,
cthulhu,Depths' Dweller,enemy,0,,melee,,600,45,1,60,1.0,45.0,0.278,1.5,no,0.24,,,,,,,,,,,,
