name,title,faction,tier,unreleased,tags,classes,hp,dmg_per_hit,hits,atk_time_frames,atk_per_s,dps,hit_delay_s,range,range_constant,engage_speed,weight,caster,cast_cooldown_frames,charge_dmg,special_attack,super_action,push_immune,trait,param_1,param_2,param_3,specials
leshy_spirit,Alchemist Hermit,player,0,,melee,,5,,,,,,,1.5,no,0.25,,,,,,,,,,,,bottle_production_debuff_duration=1200; bottle_production_debuff_multi=-0.5; has_wander_action=yes; is_wanderer=yes; wander_action_cooldown_time=1800
anubis_warrior,Anubis' Saber Master,player,1,yes,ranged+egypt,warrior+ranged,60,8,2,108,0.556,4.44,0.056,60,no,0.3,,,,,,,,Attacks pierce enemies. Upon death enrages your {&1} troops for {&2}s.,amount_of_troops_enraged=3,wrath_duration=300,,
flour_dragon_black,Ash Dragon,player,3,,melee+flying,champion+flying,730,25,1,30,2.0,50.0,0.222,1.5,no,0.31,200,,,,,,,+{&1}% to damage and attack speed of all units per Ash Dragon on the battlefield.,stat_bonus_per_unit=0.03,unit_class_buffed=8,max_units_giving_buff=-1,
assassin,Assassin,player,1,,melee,grunt,190,10,1,18,3.333,33.33,0.111,1.5,no,0.23,,,,,,,,+{&1}% HP to {&2} troops if Assassin is on the battlefield.,stat_bonus_per_unit=0.5,unit_class_buffed=grunt,max_units_giving_buff=1,
ballista,Ballista,player,3,,ranged+machine,ranged,130,80,1,120,0.5,40.0,0.111,180,no,0.2,200,,,,,,,"+{&1}% HP to {&2} troops per Ballista on the battlefield, up to {&3}%.",stat_bonus_per_unit=0.2,unit_class_buffed=flying,max_units_giving_buff=5,
barbarian,Barbarian,player,2,,melee,champion,280,100,1,132,0.455,45.45,0.278,5,no,0.31,,,,,,,,"When Barbarian attacks, all your {&1} troops become enraged, receving bonus {&2}% attack and move speed for {&3}s.",WRATH_ATK_SPD_MULTI unit_class_buffed=ranged,wrath_time=60,,
imp_beholder,Beholder,player,2,,melee+infernal,warrior,150,,,,,,,1.5,no,0.22,,yes,72,,,,,"Periodically enrages friendly troops, giving them extra attack and move speed for {&1}s and increasing their damage by {&2}% permanently.",wrath_time=180,perma_damage_increase=0.05,,
skeleton_big,Big bones,player,1,,melee+undead,undead+grunt,120,10,1,36,1.667,16.67,0.222,1.5,no,0.3,,,,,,,,+{&1}% to damage and HP of {&2} troops per Big Bones on the battlefield.,stat_bonus_per_unit=0.02,unit_class_buffed=undead,max_units_giving_buff=-1,
black_sheep,Black Sheep,player,1,,,grunt+arcane,25,,,,,,,1.5,no,0.25,,,,,,,,Provides {&1} morale per Black sheep on the battlefield.,morale_per_unit=3,UNITS chance_to_rebirth rebirth_unit_target get_title,,ignores_spotted_enemies=yes
black_swordsman,Black Swordsman,player,2,,melee,champion+warrior,380,25,1,36,1.667,41.67,0.278,1.5,no,0.21,,,,,,,,+{&1}% Attack speed to {&2} troops if Black swordsman is on the battlefield.,stat_bonus_per_unit=0.5,unit_class_buffed=grunt,max_units_giving_buff=1,
unicorn_black,Black Unicorn,player,3,,melee,champion+arcane,600,20,1,36,1.667,33.33,0.278,1.5,no,0.27,,,,,,,,+{&1}% damage if {&2} White Unicorn is present.,UNITS bonus_damage=0.3,unit_required_name,,
bladecaster,Bladecaster,player,1,,,,150,,,,,,,1.5,no,0,,,,,,,,,,,,barracks_forbidden=yes
imp_skeleton_copper,Bone Fiend,player,3,,melee+infernal,champion,600,60,1,48,1.25,75.0,0.278,1.5,no,0.25,,,,,,,,All troops have {&1}% chance to be resurrected per Bone Fiend.,resurrect_chance_per_unit=0.1,,,
